period_label,period_type,fiscal_year,period_end_date,total_revenue_kes_bn,service_revenue_kes_bn,ebit_kes_bn,net_income_kes_bn,active_customers_mn,capex_kes_bn
FY15,FY,2015,2015-03-31,163.36,156.25,146.32,31.87,19.36,33.7
FY16,FY,2016,2016-03-31,195.68,177.78,,38.1,22.06,33.34
FY17,FY,2017,2017-03-31,212.89,204.11,70.38,48.44,24.04,35.33
FY18,FY,2018,2018-03-31,233.72,224.54,79.27,55.29,24.89,36.4
FY19,FY,2019,2019-03-31,250.28,239.77,88.97,62.49,26.73,37.25
FY20,FY,2020,2020-03-31,262.56,251.22,101.49,73.66,28.63,36.1
FY21,FY,2021,2021-03-31,264.03,250.35,96.16,68.68,31.45,34.96
FY22,FY,2022,2022-03-31,298.08,281.11,109.13,67.5,32.81,49.78
FY23,FY,2023,2023-03-31,310.9,295.18,85,52.48,34.54,71.47
FY24,FY,2024,2024-03-31,349.45,329.81,80.34,42.66,37.7,97.63
FY25,FY,2025,2025-03-31,388.69,371.42,104.05,45.76,44.36,73.03
FY26,FY,2026,2026-03-31,427.56,414.14,146.32,73.68,50.66,91.82
