period_label,period_type,fiscal_year,period_end_date,mpesa_revenue_kes_bn,mpesa_txn_value_kes_bn,mpesa_txn_volume_mn,mpesa_customers_1m_mn,merchants_mn,business_payments_kes_bn,mpesa_global_kes_bn,merchant_overdraft_customers
FY15,FY,2015,2015-03-31,32.63,41680,46410,13.86,3.13,56.67,4.5,41033
FY16,FY,2016,2016-03-31,41.5,,,16.6,,,,
FY17,FY,2017,2017-03-31,55.08,,,19.02,,,,
FY18,FY,2018,2018-03-31,62.91,,,20.55,,,,
FY19,FY,2019,2019-03-31,74.99,,,22.64,,,,
FY20,FY,2020,2020-03-31,84.44,,,24.91,,,,
FY21,FY,2021,2021-03-31,82.65,22044,11676,28.31,,,2.01,
FY22,FY,2022,2022-03-31,107.69,30180.9,15752.8,30.53,0.493,24.25,2.48,
FY23,FY,2023,2023-03-31,117.19,34859.1,21476,32.11,0.607,27.34,2.9,
FY24,FY,2024,2024-03-31,139.91,37701.7,28679.2,32.41,0.633,38.18,3.47,44797
FY25,FY,2025,2025-03-31,161.12,38267.9,37100.9,35.82,1.83,48.64,3.89,45150
FY26,FY,2026,2026-03-31,182.73,41680.8,46413.3,40.99,3.13,56.67,4.76,41033
