period_label,period_type,fiscal_year,period_end_date,voice_kes_bn,mobile_data_kes_bn,messaging_kes_bn,mobile_incoming_kes_bn,other_mobile_service_kes_bn,mpesa_kes_bn,fixed_service_iot_kes_bn,connectivity_total_kes_bn,total_service_revenue_kes_bn
FY15,FY,2015,2015-03-31,87.41,14.82,15.63,9.07,2.63,32.63,3.13,120.49,156.25
FY16,FY,2016,2016-03-31,90.8,21.15,17.33,,3.18,41.5,3.82,132.46,177.78
FY17,FY,2017,2017-03-31,93.46,29.29,16.68,,4.36,55.08,5.24,143.79,204.11
FY18,FY,2018,2018-03-31,95.64,36.36,17.72,,5.24,62.91,6.67,154.96,224.54
FY19,FY,2019,2019-03-31,95.8,36.27,19.61,,5,74.99,8.1,156.68,239.77
FY20,FY,2020,2020-03-31,86.53,40.16,15.4,8.48,7.24,84.44,8.97,157.81,251.22
FY21,FY,2021,2021-03-31,82.55,44.79,13.6,9.47,7.78,82.65,9.51,158.19,250.35
FY22,FY,2022,2022-03-31,83.21,48.44,10.88,9.85,9.32,107.69,11.72,161.7,281.11
FY23,FY,2023,2023-03-31,80.92,53.6,11.37,8.06,9.79,117.19,14.26,163.73,295.18
FY24,FY,2024,2024-03-31,79.51,63.24,12.28,8.25,10.67,139.91,15.95,173.94,329.81
FY25,FY,2025,2025-03-31,80.78,72.86,12.48,7.86,11.18,161.12,18,185.16,364.28
FY26,FY,2026,2026-03-31,81.82,83.35,11,9.07,12.63,182.73,20.2,197.87,400.79
